# BUSCO version is: 6.0.0 
# The lineage dataset is: diptera_odb10 (Creation date: 2024-01-08, number of genomes: 56, number of BUSCOs: 3285)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
20at7147	Complete	4	725716	775546	+	11799.1	6642	https://v10-1.orthodb.org/?query=20at7147	Immunoglobulin-like domain
29at7147	Complete	2R	8862956	8887812	+	9120.0	4263	https://v10-1.orthodb.org/?query=29at7147	Ryanodine receptor
51at7147	Complete	3L	4825571	4807669	-	8497.2	3980	https://v10-1.orthodb.org/?query=51at7147	Dynein heavy chain
80at7147	Complete	3R	28487536	28519318	+	7614.0	4115	https://v10-1.orthodb.org/?query=80at7147	Dynein heavy chain
94at7147	Complete	3R	10331187	10312646	-	4884.2	3057	https://v10-1.orthodb.org/?query=94at7147	Baculoviral IAP repeat-containing protein 6
158at7147	Complete	3L	12755145	12768558	+	4044.8	2858	https://v10-1.orthodb.org/?query=158at7147	Vacuolar protein sorting-associated protein 13, N-terminal domain
161at7147	Complete	2L	6987207	6973479	-	6324.8	3130	https://v10-1.orthodb.org/?query=161at7147	EGF-like, conserved site
169at7147	Complete	3L	6215728	6204177	-	4712.0	2864	https://v10-1.orthodb.org/?query=169at7147	Laminin, N-terminal
178at7147	Complete	3L	3351566	3367768	+	6205.3	3347	https://v10-1.orthodb.org/?query=178at7147	Pleckstrin homology domain
208at7147	Complete	2R	10706529	10719830	+	5487.4	2781	https://v10-1.orthodb.org/?query=208at7147	GPCR, family 2, extracellular hormone receptor domain
268at7147	Complete	2L	17982472	17962737	-	4872.6	3259	https://v10-1.orthodb.org/?query=268at7147	Dynein heavy chain
287at7147	Complete	X	6255348	6241466	-	4614.3	2491	https://v10-1.orthodb.org/?query=287at7147	WD40-repeat-containing domain
296at7147	Complete	2L	3783742	3802242	+	4275.3	2398	https://v10-1.orthodb.org/?query=296at7147	SRCR-like domain
300at7147	Complete	3R	27663195	27676892	+	5354.8	2758	https://v10-1.orthodb.org/?query=300at7147	Cation channel complex component UNC80, N-terminal
304at7147	Complete	X	20394879	20411551	+	6404.1	3687	https://v10-1.orthodb.org/?query=304at7147	Cytochrome b5-like heme/steroid binding domain
328at7147	Complete	2L	8071566	8054513	-	6748.8	3983	https://v10-1.orthodb.org/?query=328at7147	Zinc finger, UBR-type
329at7147	Complete	2R	24009322	23995684	-	4499.9	2658	https://v10-1.orthodb.org/?query=329at7147	Immunoglobulin-like domain
376at7147	Complete	3R	25983288	25993783	+	4293.1	2109	https://v10-1.orthodb.org/?query=376at7147	CRAL-TRIO lipid binding domain
