# BUSCO version is: 6.0.0 
# The lineage dataset is: diptera_odb10 (Creation date: 2024-01-08, number of genomes: 56, number of BUSCOs: 3285)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
20at7147	Complete	ptg000029l	73312	23482	-	11799.1	6642	https://v10-1.orthodb.org/?query=20at7147	Immunoglobulin-like domain
29at7147	Complete	ptg000002l	16524964	16500108	-	9120.0	4263	https://v10-1.orthodb.org/?query=29at7147	Ryanodine receptor
51at7147	Complete	ptg000001l	4834404	4816502	-	8497.2	3980	https://v10-1.orthodb.org/?query=51at7147	Dynein heavy chain
80at7147	Complete	ptg000009l	3610046	3578264	-	7614.0	4115	https://v10-1.orthodb.org/?query=80at7147	Dynein heavy chain
94at7147	Complete	ptg000009l	21803796	21822337	+	4884.2	3057	https://v10-1.orthodb.org/?query=94at7147	Baculoviral IAP repeat-containing protein 6
158at7147	Complete	ptg000001l	12790662	12804075	+	4044.8	2858	https://v10-1.orthodb.org/?query=158at7147	Vacuolar protein sorting-associated protein 13, N-terminal domain
161at7147	Complete	ptg000003l	7089987	7076259	-	6324.8	3130	https://v10-1.orthodb.org/?query=161at7147	EGF-like, conserved site
169at7147	Complete	ptg000001l	6225144	6213593	-	4712.0	2864	https://v10-1.orthodb.org/?query=169at7147	Laminin, N-terminal
178at7147	Complete	ptg000001l	3362135	3378337	+	6205.3	3347	https://v10-1.orthodb.org/?query=178at7147	Pleckstrin homology domain
208at7147	Complete	ptg000002l	14676195	14662893	-	5487.4	2781	https://v10-1.orthodb.org/?query=208at7147	GPCR, family 2, extracellular hormone receptor domain
268at7147	Complete	ptg000003l	18157915	18138180	-	4872.6	3259	https://v10-1.orthodb.org/?query=268at7147	Dynein heavy chain
287at7147	Complete	ptg000014l	1563691	1577573	+	4614.3	2491	https://v10-1.orthodb.org/?query=287at7147	WD40-repeat-containing domain
296at7147	Complete	ptg000003l	3882006	3900506	+	4275.3	2398	https://v10-1.orthodb.org/?query=296at7147	SRCR-like domain
300at7147	Complete	ptg000009l	4434385	4420688	-	5354.8	2758	https://v10-1.orthodb.org/?query=300at7147	Cation channel complex component UNC80, N-terminal
304at7147	Complete	ptg000010l	12605076	12621748	+	6404.1	3687	https://v10-1.orthodb.org/?query=304at7147	Cytochrome b5-like heme/steroid binding domain
328at7147	Complete	ptg000003l	8177322	8160269	-	6748.8	3983	https://v10-1.orthodb.org/?query=328at7147	Zinc finger, UBR-type
329at7147	Complete	ptg000002l	1308570	1322208	+	4499.9	2658	https://v10-1.orthodb.org/?query=329at7147	Immunoglobulin-like domain
376at7147	Complete	ptg000009l	6114317	6103822	-	4293.1	2109	https://v10-1.orthodb.org/?query=376at7147	CRAL-TRIO lipid binding domain
377at7147	Complete	ptg000003l	8149461	8158801	+	3223.8	2031	https://v10-1.orthodb.org/?query=377at7147	EGF-like calcium-binding, conserved site
396at7147	Complete	ptg000002l	13497148	13514449	+	5510.3	3765	https://v10-1.orthodb.org/?query=396at7147	Midasin AAA lid domain 5
423at7147	Complete	ptg000001l	9700552	9657703	-	4730.7	2537	https://v10-1.orthodb.org/?query=423at7147	Cell morphogenesis central region
432at7147	Complete	ptg000014l	5337774	5365522	+	3576.1	2358	https://v10-1.orthodb.org/?query=432at7147	Immunoglobulin-like domain
459at7147	Complete	ptg000009l	315515	304262	-	3541.7	1951	https://v10-1.orthodb.org/?query=459at7147	Ubiquitin specific protease, conserved site
466at7147	Complete	ptg000003l	13158727	13166871	+	3802.5	2037	https://v10-1.orthodb.org/?query=466at7147	FKBP12-rapamycin binding domain
491at7147	Complete	ptg000009l	3401250	3363970	-	2308.5	1757	https://v10-1.orthodb.org/?query=491at7147	Huntingtin family
508at7147	Complete	ptg000002l	17820669	17807507	-	3775.2	2528	https://v10-1.orthodb.org/?query=508at7147	Vacuolar protein sorting-associated protein 13, N-terminal domain
509at7147	Complete	ptg000002l	13210133	13218447	+	4811.9	2090	https://v10-1.orthodb.org/?query=509at7147	Pre-mRNA-processing-splicing factor 8, U5-snRNA-binding
516at7147	Complete	ptg000009l	7447926	7461152	+	4345.6	2318	https://v10-1.orthodb.org/?query=516at7147	Ubiquitin specific protease, conserved site
556at7147	Complete	ptg000003l	10442977	10434486	-	3457.6	1924	https://v10-1.orthodb.org/?query=556at7147	Ankyrin repeat-containing domain
566at7147	Complete	ptg000003l	18684966	18672242	-	3136.4	1912	https://v10-1.orthodb.org/?query=566at7147	Laminin G domain
591at7147	Complete	ptg000014l	5616905	5600056	-	2397.5	1379	https://v10-1.orthodb.org/?query=591at7147	Pecanex, C-terminal
595at7147	Complete	ptg000009l	22410057	22420628	+	3606.8	2103	https://v10-1.orthodb.org/?query=595at7147	HECT domain
597at7147	Complete	ptg000011l	144493	165864	+	3043.6	1783	https://v10-1.orthodb.org/?query=597at7147	Translational activator Gcn1
608at7147	Complete	ptg000001l	1784719	1775007	-	4333.4	2154	https://v10-1.orthodb.org/?query=608at7147	EF-hand, Ca insensitive
610at7147	Complete	ptg000009l	11471800	11463306	-	3414.8	1894	https://v10-1.orthodb.org/?query=610at7147	Leucine-rich repeat
612at7147	Complete	ptg000002l	15804462	15814771	+	3094.1	1712	https://v10-1.orthodb.org/?query=612at7147	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
626at7147	Complete	ptg000009l	3566133	3576451	+	2376.6	1558	https://v10-1.orthodb.org/?query=626at7147	Immunoglobulin-like domain
648at7147	Complete	ptg000010l	9868013	9875764	+	4155.6	2048	https://v10-1.orthodb.org/?query=648at7147	Pleckstrin homology domain
698at7147	Complete	ptg000001l	8588584	8600889	+	4374.5	2280	https://v10-1.orthodb.org/?query=698at7147	Talin, central
729at7147	Complete	ptg000001l	16005673	15998923	-	3912.0	1876	https://v10-1.orthodb.org/?query=729at7147	DEAD/DEAH box helicase domain
745at7147	Complete	ptg000010l	8112388	8120195	+	2693.4	1488	https://v10-1.orthodb.org/?query=745at7147	EGF-like calcium-binding, conserved site
762at7147	Complete	ptg000002l	16211129	16219772	+	4047.7	2022	https://v10-1.orthodb.org/?query=762at7147	DnaJ domain
765at7147	Complete	ptg000002l	2839739	2831234	-	2293.6	1924	https://v10-1.orthodb.org/?query=765at7147	Armadillo-type fold
784at7147	Complete	ptg000003l	7601339	7578843	-	3142.2	1699	https://v10-1.orthodb.org/?query=784at7147	Dedicator of cytokinesis, C-terminal
811at7147	Complete	ptg000002l	17402163	17413435	+	3949.3	1916	https://v10-1.orthodb.org/?query=811at7147	Acetyl-CoA carboxylase
814at7147	Complete	ptg000014l	993912	987660	-	1679.0	1384	https://v10-1.orthodb.org/?query=814at7147	Phosphatidylinositol 3-/4-kinase, catalytic domain
824at7147	Complete	ptg000010l	8859024	8871218	+	2207.2	1138	https://v10-1.orthodb.org/?query=824at7147	Carbamoyl-phosphate synthase small subunit, N-terminal domain
839at7147	Complete	ptg000009l	15635441	15643777	+	1981.3	1345	https://v10-1.orthodb.org/?query=839at7147	Cadherin-like
860at7147	Complete	ptg000001l	21043298	21013983	-	1414.6	897	https://v10-1.orthodb.org/?query=860at7147	Mediator complex subunit Med13, C-terminal
869at7147	Complete	ptg000009l	12861666	12876594	+	3678.5	1986	https://v10-1.orthodb.org/?query=869at7147	UNC79
889at7147	Complete	ptg000001l	8507787	8500124	-	2727.9	1592	https://v10-1.orthodb.org/?query=889at7147	Tetratricopeptide repeat
898at7147	Complete	ptg000010l	3257667	3245265	-	983.3	1104	https://v10-1.orthodb.org/?query=898at7147	Fibronectin type III
920at7147	Complete	ptg000001l	16838079	16826699	-	3487.4	1759	https://v10-1.orthodb.org/?query=920at7147	Glutamate synthase, alpha subunit, C-terminal
967at7147	Complete	ptg000009l	24108784	24118944	+	3380.3	1770	https://v10-1.orthodb.org/?query=967at7147	Armadillo-type fold
969at7147	Complete	ptg000014l	6513463	6506764	-	2005.1	1860	https://v10-1.orthodb.org/?query=969at7147	uncharacterized protein LOC108097278
976at7147	Complete	ptg000009l	9363540	9370459	+	2729.8	1537	https://v10-1.orthodb.org/?query=976at7147	Ribonuclease III domain
977at7147	Complete	ptg000003l	7920680	7926120	+	2411.3	1465	https://v10-1.orthodb.org/?query=977at7147	Laminin, N-terminal
981at7147	Complete	ptg000009l	23292770	23307512	+	2137.6	1223	https://v10-1.orthodb.org/?query=981at7147	PDZ domain
1009at7147	Complete	ptg000038l	271403	282407	+	2820.1	2559	https://v10-1.orthodb.org/?query=1009at7147	Vitellinogen, beta-sheet N-terminal
1015at7147	Complete	ptg000009l	6847980	6839054	-	1493.4	1193	https://v10-1.orthodb.org/?query=1015at7147	Zinc finger, RanBP2-type
1017at7147	Complete	ptg000003l	284431	302096	+	1664.8	1886	https://v10-1.orthodb.org/?query=1017at7147	SHARP, RNA recognition motif 2
1064at7147	Complete	ptg000002l	6872139	6888962	+	2425.0	1317	https://v10-1.orthodb.org/?query=1064at7147	WD40 repeat
1082at7147	Complete	ptg000003l	19970562	19964714	-	1534.7	989	https://v10-1.orthodb.org/?query=1082at7147	SH3 domain
1099at7147	Complete	ptg000002l	13173996	13180251	+	2352.5	1492	https://v10-1.orthodb.org/?query=1099at7147	Proteasome component Ecm29
1122at7147	Complete	ptg000002l	4011278	3982131	-	2172.5	1188	https://v10-1.orthodb.org/?query=1122at7147	SNF2-related, N-terminal domain
1142at7147	Complete	ptg000010l	12060855	12067821	+	1936.9	1455	https://v10-1.orthodb.org/?query=1142at7147	Nucleoporin Nup186/Nup192/Nup205
1152at7147	Complete	ptg000001l	1589490	1595679	+	1052.7	803	https://v10-1.orthodb.org/?query=1152at7147	BTB/POZ domain
1190at7147	Complete	ptg000009l	16642348	16635508	-	3243.3	1721	https://v10-1.orthodb.org/?query=1190at7147	DEAD/DEAH box helicase domain
1204at7147	Complete	ptg000009l	16151185	16145160	-	2506.0	1469	https://v10-1.orthodb.org/?query=1204at7147	SNF2-related, N-terminal domain
1216at7147	Complete	ptg000009l	16060969	16067792	+	2795.7	1366	https://v10-1.orthodb.org/?query=1216at7147	WD40-repeat-containing domain
1224at7147	Complete	ptg000009l	8756366	8749471	-	3450.9	1786	https://v10-1.orthodb.org/?query=1224at7147	DNA polymerase epsilon catalytic subunit
1246at7147	Complete	ptg000003l	13947766	13953061	+	2908.0	1414	https://v10-1.orthodb.org/?query=1246at7147	Sec7, C-terminal
1270at7147	Complete	ptg000009l	9634095	9620726	-	2845.0	1349	https://v10-1.orthodb.org/?query=1270at7147	EGF-like domain
1273at7147	Complete	ptg000009l	5130154	5121055	-	2438.9	1354	https://v10-1.orthodb.org/?query=1273at7147	Rap/Ran-GAP superfamily
1288at7147	Complete	ptg000002l	18647706	18666366	+	2922.6	1504	https://v10-1.orthodb.org/?query=1288at7147	Thioredoxin domain
1297at7147	Complete	ptg000002l	13529840	13521996	-	1547.1	1453	https://v10-1.orthodb.org/?query=1297at7147	Nucleoprotein TPR/MLP1
1314at7147	Complete	ptg000009l	2288804	2281710	-	1726.4	1223	https://v10-1.orthodb.org/?query=1314at7147	Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II
1378at7147	Complete	ptg000010l	8034480	8028593	-	2909.0	1421	https://v10-1.orthodb.org/?query=1378at7147	Clathrin heavy chain
1388at7147	Complete	ptg000002l	20691270	20727909	+	2103.4	1252	https://v10-1.orthodb.org/?query=1388at7147	Nipped-B protein
1424at7147	Complete	ptg000009l	20712585	20705443	-	1573.0	1338	https://v10-1.orthodb.org/?query=1424at7147	FYVE zinc finger
1448at7147	Complete	ptg000003l	19701591	19696559	-	1574.2	867	https://v10-1.orthodb.org/?query=1448at7147	Sushi/SCR/CCP domain
1460at7147	Complete	ptg000001l	14085231	14079414	-	2090.8	1178	https://v10-1.orthodb.org/?query=1460at7147	Neuralized homology repeat (NHR) domain
